	Domain	"Phylum	"	"Class	"	"Order	"	Family 	"Genus	"	Species
OTU68	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_terreus_SH194083.07FU
OTU69	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	UNKNOWN	UNKNOWN
OTU70	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	s:Alternaria_terricola_SH434798.07FU
OTU71	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU72	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU73	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU74	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU75	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Stachybotryaceae	g:Stachybotrys	s:Stachybotrys_microspora_SH209073.07FU
OTU76	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU77	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU78	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	UNKNOWN	UNKNOWN	UNKNOWN
OTU79	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	UNKNOWN	UNKNOWN
OTU80	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Hyaloscyphaceae	g:Lemonniera	UNKNOWN
OTU81	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU82	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Steccherinaceae	g:Junghuhnia	s:Junghuhnia_luteoalba_SH184504.07FU
