"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU668" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Didymosphaeriaceae" "g:Spegazzinia" "UNKNOWN"
"OTU1524" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Cystofilobasidiales" "f:Mrakiaceae" "g:Udeniomyces" "s:Udeniomyces_puniceus_SH192067.07FU"
"OTU600" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU914" "d:Fungi" "p:Ascomycota" "c:Taphrinomycetes" "o:Taphrinales" "f:Taphrinaceae" "g:Taphrina" "s:Taphrina_tormentillae_SH200748.07FU"
"OTU6128" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU361" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Alternaria" "s:Alternaria_longissima_SH192117.07FU"
"OTU835" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Hymenochaetales" "f:Hymenochaetales_fam_Incertae_sedis" "g:Trichaptum" "s:Trichaptum_biforme_SH178781.07FU"
"OTU596" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4460" "d:Fungi" "p:Ascomycota" "c:Leotiomycetes" "o:Helotiales" "f:Helotiaceae" "g:Collophora" "UNKNOWN"
"OTU641" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Aspergillus" "UNKNOWN"
"OTU286" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Capnodiales" "f:Cladosporiaceae" "g:Toxicocladosporium" "s:Toxicocladosporium_pseudoveloxum_SH111102.07FU"
"OTU6841" "d:Fungi" "p:Basidiomycota" "c:Microbotryomycetes" "o:Sporidiobolales" "f:Sporidiobolaceae" "g:Sporobolomyces" "s:Sporobolomyces_symmetricus_SH205939.07FU"
"OTU52" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU59" "d:Fungi" "p:Ascomycota" "c:Saccharomycetes" "o:Saccharomycetales" "f:Debaryomycetaceae" "g:Debaryomyces" "s:Debaryomyces_prosopidis_SH190089.07FU"
"OTU3208" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Curvularia" "UNKNOWN"
"OTU282" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporales_fam_Incertae_sedis" "g:Latorua" "s:Latorua_caligans_SH212864.07FU"
"OTU4012" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4069" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2534" "d:Fungi" "p:Basidiomycota" "c:Malasseziomycetes" "o:Malasseziales" "f:Malasseziaceae" "g:Malassezia" "s:Malassezia_restricta_SH176395.07FU"
"OTU343" "d:Fungi" "p:Basidiomycota" "c:Malasseziomycetes" "o:Malasseziales" "f:Malasseziaceae" "g:Malassezia" "UNKNOWN"
"OTU173" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU372" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1192" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1752" "d:Fungi" "p:Ascomycota" "c:Arthoniomycetes" "o:Lichenostigmatales" "f:Phaeococcomycetaceae" "g:Phaeococcomyces" "s:Phaeococcomyces_mexicanus_SH025621.07FU"
"OTU477" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5406" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4512" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4611" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU24" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU130" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2940" "d:Fungi" "p:Ascomycota" "c:Arthoniomycetes" "o:Lichenostigmatales" "f:Phaeococcomycetaceae" "g:Phaeococcomyces" "s:Phaeococcomyces_mexicanus_SH025621.07FU"
"OTU471" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU625" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Penicillium" "UNKNOWN"
"OTU219" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1395" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Polyporales" "f:Meruliaceae" "g:Phlebia" "s:Phlebia_tremellosa_SH175372.07FU"
"OTU71" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1959" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU54" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7462" "d:Fungi" "p:Basidiomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU537" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Myriangiales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2772" "d:Fungi" "p:Ascomycota" "c:Arthoniomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4661" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Chaetothyriales" "f:Chaetothyriales_fam_Incertae_sedis" "g:Strelitziana" "s:Strelitziana_africana_SH193002.07FU"
"OTU680" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Capnodiales" "f:Cladosporiaceae" "g:Toxicocladosporium" "UNKNOWN"
"OTU257" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1767" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7081" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Hypocreales" "f:Stachybotryaceae" "UNKNOWN" "UNKNOWN"
"OTU1370" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Capnodiales" "f:Cladosporiaceae" "g:Toxicocladosporium" "UNKNOWN"
"OTU1414" "d:Fungi" "p:Ascomycota" "c:Leotiomycetes" "o:Helotiales" "f:Helotiaceae" "g:Articulospora" "UNKNOWN"
"OTU5528" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Aspergillus" "UNKNOWN"
"OTU4545" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU399" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Penicillium" "UNKNOWN"
"OTU1478" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
