	Domain	"Phylum	"	"Class	"	"Order	"	Family 	"Genus	"	Species
OTU11822	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_17	UNKNOWN	UNKNOWN	UNKNOWN
OTU11823	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:AT425-EubC11_terrestrial_group	UNKNOWN	UNKNOWN	UNKNOWN
OTU11824	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	UNKNOWN	UNKNOWN
OTU11825	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	UNKNOWN	UNKNOWN
OTU11826	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Sandaracinaceae	UNKNOWN	UNKNOWN
OTU11827	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:NKB5	UNKNOWN	UNKNOWN	UNKNOWN
OTU11828	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	UNKNOWN	UNKNOWN
OTU11829	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	UNKNOWN	UNKNOWN
OTU11830	k:Bacteria	p:Chloroflexi	c:TK10	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11831	k:Bacteria	p:Chloroflexi	c:JG30-KF-CM66	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11832	k:Bacteria	p:WCHB1-60	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11833	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11834	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11835	k:Bacteria	p:Armatimonadetes	c:Chthonomonadetes	o:Chthonomonadales	f:Chthonomonadaceae	g:Chthonomonas	UNKNOWN
OTU11836	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11837	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Flavisolibacter	UNKNOWN
OTU11838	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Aquicella	UNKNOWN
